Player,Nation,Squad,Age,Position,ETV
Tyler Dibling,ENG,Southampton,19-033,"FW,MF",€32M
Tyrick Mitchell,ENG,Crystal Palace,25-225,DF,€25.1M
Tyrone Mings,ENG,Aston Villa,32-032,DF,€5.7M
Valentino Livramento,ENG,Newcastle Utd,22-153,DF,€48.4M
Victor Bernth Kristiansen,DEN,Leicester City,22-119,DF,
Virgil van Dijk,NED,Liverpool,33-280,DF,€16.6M
Vitaliy Mykolenko,UKR,Everton,25-320,DF,€33.5M
Vitaly Janelt,GER,Brentford,26-339,MF,€22.2M
Wes Burns,WAL,Ipswich Town,30-142,"FW,DF",€2.1M
Wesley Fofana,FRA,Chelsea,24-118,DF,€30.4M
Wilfred Ndidi,NGA,Leicester City,28-119,MF,
Will Hughes,ENG,Crystal Palace,29-362,MF,€7.3M
William Saliba,FRA,Arsenal,24-021,DF,€79.5M
Wout Faes,BEL,Leicester City,27-011,DF,€25.3M
Yankuba Minteh,GAM,Brighton,20-266,"FW,MF",€42.6M
Yasin Ayari,SWE,Brighton,21-190,MF,€21.5M
Yehor Yarmoliuk,UKR,Brentford,21-044,MF,€18M
Yoane Wissa,COD,Brentford,28-223,FW,€31.4M
Youri Tielemans,BEL,Aston Villa,27-342,MF,€43.3M
Yukinari Sugawara,JPN,Southampton,24-290,"DF,MF",€15.8M
Yves Bissouma,MLI,Tottenham,28-227,MF,€30M
Álex Moreno,ESP,Nott'ham Forest,31-310,"DF,MF",€11.2M
İlkay Gündoğan,GER,Manchester City,34-172,MF,€11M
Łukasz Fabiański,POL,West Ham,39-361,GK,€0.9M
